,Time,Power
0,0,0.07242837448192363
1,56,0.07242837448192363
2,112,0.07242837448192363
3,168,0.07242837448192363
4,224,0.07242837448192363
5,280,0.07242837448192363
6,336,0.07242837448192363
7,392,0.07242837448192363
8,448,0.3196175024208634
9,504,1.6730704566774568
10,560,2.9952253297233216
11,616,3.725981790533995
12,672,3.8941916522730833
13,728,3.2025273481932666
14,784,2.680851058280219
15,840,1.9720724106229919
16,896,0.9518445353687919
17,952,0.07640101249429199
18,1008,0.07242837448192363
19,1064,0.07242837448192363
20,1120,0.07242837448192363
21,1176,0.07242837448192363
22,1232,0.07242837448192363
23,1288,0.07242837448192363
24,1344,0.07242837448192363
